Id,CanonicalItem,Aliases,CuFtS,CuFtM,CuFtL,WeightSLb,WeightMLb,WeightLLb,TwoPersonFlag,StackableFlag,StackableSavingsPct,FitsElevatorHint,BaseTimeSMin,BaseTimeMMin,BaseTimeLMin,DisassemblyAdderSMin,DisassemblyAdderMMin,DisassemblyAdderLMin,BulkyAdderSMin,BulkyAdderMMin,BulkyAdderLMin,HeavyAdderSMin,HeavyAdderMMin,HeavyAdderLMin,StairsAdderPerFlightSMin,StairsAdderPerFlightMMin,StairsAdderPerFlightLMin,ElevatorAdderPerRideSMin,ElevatorAdderPerRideMMin,ElevatorAdderPerRideLMin,UnloadMultiplierMainFloor,UnloadMultiplierElevator,UnloadMultiplierStairs,ClassificationLogicNotes,CreatedAt,UpdatedAt
1010,dresser,dresser; drawer dresser; low dresser; bedroom dresser,15,25,35,70,120,200,Yes,Yes,15,Usually,5,7,10,0,0,0,0.5,2,3,1,2,3.5,2.5,4,6,1,2,3,0.95,1.05,1.15,,,
1011,tall dresser,tall dresser; chest of drawers; tall chest; high dresser,18,28,40,80,140,220,Yes,Yes,15,Usually,6,8,11,0,0,0,1.5,2.5,3.5,1.5,2.5,4,3,4.5,6.5,1.5,2,3,0.95,1.05,1.15,,,
1012,wardrobe,wardrobe; armoire; wardrobe cabinet; wardrobe closet; clothing wardrobe,25,40,60,110,170,240,Yes,No,0,If disassembled,8,12,16,7,11,15,3,5,7,2.5,4,5.5,4.5,7,9,2,3.5,4.5,1,1.1,1.2,,,
1013,vanity table,vanity; vanity table; dressing table; makeup table,10,18,25,40,70,110,Maybe,Yes,15,Usually,4,6,8,3,5,8,0,1,1.5,0,0,0,1.5,3,4,0.5,1,1.5,0.9,1,1.1,,,
1014,mirror,mirror; wall mirror; bedroom mirror,4,6,10,15,25,40,No,No,0,Yes,2,3,4,0,0,0,0,0,0,0,0,0,1,1.5,2,0.5,0.5,0.5,0.85,0.95,1.05,,,
1015,floor mirror,floor mirror; standing mirror; full mirror; full length mirror,6,10,16,25,40,70,Maybe,No,0,Usually,3,4,5,0,0,0,0,0,0.5,0,0,0,1.5,2.5,3.5,0.5,1,1.5,0.85,0.95,1.05,,,
1016,hutch,hutch; top cabinet; dresser hutch; desk hutch; cabinet hutch,10,20,30,40,80,140,Yes,No,0,Usually,4,6,9,3,5,8,0,2,3,0,0,2,2,3,5,1,1.5,2.5,0.95,1.05,1.15,,,
1017,clothing rack,clothing rack; garment rack; clothes rack; rolling rack,6,10,15,20,40,70,No,Yes,15,Yes,2,3,4,0,0,0,0,0,0,0,0,0,0.5,1,1,0.5,0.5,0.5,0.85,0.95,1.05,,,
1018,bench,bench; bedroom bench; end bench; bed bench; storage bench; dining bench; entry bench; outdoor bench,6,10,16,25,45,80,Maybe,Yes,15,Yes,2,3,4,0,0,0,0,0,0.5,0,0,0,1,1.5,2,0.5,0.5,0.5,0.85,0.95,1.05,,,
1019,trunk,trunk; storage trunk; storage chest; foot trunk; travel trunk; toy chest; blanket chest,8,15,25,40,80,140,Maybe,Yes,15,Yes,3,5,7,0,0,0,0,0,1,0,0,1,1,2,3.5,0.5,0.5,1.5,0.9,1,1.1,,,
1020,desk,desk; computer desk; writing desk; student desk; standing desk; adjustable desk,12,22,34,50,110,180,Maybe,No,0,Usually,4,7,10,3,5,8,1,2,3.5,0,1,2.5,2,3.5,5.5,1,1.5,2.5,0.95,1.05,1.15,,,
1021,L desk,l desk; l shaped desk; corner desk; workstation desk,25,40,60,100,180,280,Yes,No,0,If disassembled,7,10,15,5,8,12,2.5,4,6,2,3.5,6,4,6,9,2,3,4.5,1,1.1,1.2,,,
1022,dining table,dining table; kitchen table; dinner table,25,40,60,80,140,220,Yes,No,0,If disassembled,6,10,14,3,5,8,3,5,7,1.5,3,4.5,3.5,6,8.5,1.5,3,4,1,1.1,1.2,,,
1023,coffee table,coffee table; center table; living room table; low table,10,18,25,40,70,110,No,Yes,15,Yes,3,4,6,0,0,0,0,1,1.5,0,0,0,1,1.5,2.5,0.5,0.5,1,0.9,1,1.1,,,
1024,side table,side table; end table; lamp table; accent table,5,8,12,20,35,60,No,Yes,15,Yes,2,3,4,0,0,0,0,0,0,0,0,0,0.5,1,1,0.5,0.5,0.5,0.85,0.95,1.05,,,
1025,console table,console table; hallway table; entry table; sofa table,10,18,25,40,70,110,Maybe,Yes,15,Usually,3,4,6,0,0,0,0,1,1.5,0,0,0,1,2,3,0.5,1,1,0.9,1,1.1,,,
1026,workbench,workbench; work table; shop table; garage table; utility table,22,38,65,100,180,300,Maybe,No,0,Usually,8,11,15,6,9,13,2.5,4.5,7.5,2,3.5,6,4,6,9,1.5,2.5,4,1,1.1,1.2,,,
1027,folding table,folding table; foldable table; collapsible table,8,12,18,25,40,60,No,Yes,30,Yes,2,3,4,0,0,0,0,0,1,0,0,0,0.5,1,1.5,0.5,0.5,0.5,0.85,0.95,1.05,,,
1028,patio table,patio table; outdoor table; garden table; backyard table,15,25,40,50,100,180,Maybe,No,0,Usually,4,6,9,0,0,0,1.5,2.5,4.5,0,0.5,2.5,2,3,5.5,1,1.5,2.5,0.95,1.05,1.15,,,
1029,kitchen cart,kitchen cart; rolling cart; kitchen trolley; island cart; small island,10,18,28,40,80,140,No,Yes,15,yes,3,4,6,0,0,0,0,0.5,1.5,0,0,0.5,1,1.5,2.5,0.5,0.5,1,0.9,1,1.1,,,
1030,kitchen island,kitchen island; movable island; large island; butcher block island; rolling island large,20,35,50,120,180,260,Yes,No,0,Usually,8,11,15,0,0,0,1.5,3.5,4.5,3,4,5.5,4.5,6,8.5,2,3,4,0.95,1.05,1.15,,,
1031,bookshelf,bookshelf; bookcase; wood bookshelf; small bookcase; book shelf,15,25,40,60,100,180,Maybe,Yes,15,Usually,5,7,10,0,0,0,0.5,2,3.5,0.5,1,2.5,2,3.5,5.5,1,1.5,2.5,0.95,1.05,1.15,,,
1032,shelving unit,shelving unit; storage rack; garage shelf; metal shelf; heavy shelf; rack unit; storage shelving,20,35,55,70,120,200,Maybe,Yes,15,Usually,6,9,12,3,5,8,1.5,3,5,1,1.5,3,3,4.5,6.5,1,2,3,0.95,1.05,1.15,,,
1033,cabinet,cabinet; storage cabinet; floor cabinet; tall cabinet; pantry cabinet,18,30,50,70,130,200,Maybe,Yes,15,Usually,5,7,10,0,0,0,1.5,2.5,4,0.5,1.5,3,2.5,4,5.5,1,1.5,2.5,0.95,1.05,1.15,,,
1034,filing cabinet,filing cabinet; file cabinet; file drawer; office file cabinet,12,20,30,60,120,200,Maybe,Yes,15,Usually,4,6,8,0,0,0,0.5,1.5,2,0,1,2.5,1.5,3,4.5,0.5,1,2,0.9,1,1.1,,,
1035,display cabinet,display cabinet; display case; curio cabinet; glass cabinet,20,35,55,90,160,260,Yes,No,0,Usually,6,9,12,0,0,0,2.5,4.5,6.5,2,3,5,4,6,8.5,2,3,4,0.95,1.05,1.15,,,
1036,china cabinet,china cabinet; dish cabinet; hutch cabinet; large hutch,30,50,80,140,220,350,Yes,No,0,If disassembled,8,12,18,3,5,8,4,6.5,10,3,5,8,5,8,12,2.5,4,6,1,1.1,1.2,,,
1037,tv stand,tv stand; tv table; television stand; tv cabinet; media console; entertainment console; entertainment stand; tv console,14,24,40,50,95,150,Maybe,Yes,15,Usually,4,6,9,0,0,0,1,2,3.5,0,0.5,1.5,2,3.5,5.5,1,1.5,2.5,0.9,1,1.1,,,
1038,tool chest,tool chest; tool cabinet; mechanic chest,15,30,50,90,160,260,Yes,No,0,Usually,5,8,12,0,0,0,1.5,3.5,5.5,1.5,3,5,3,5,7.5,1.5,2.5,3.5,0.95,1.05,1.15,,,
1039,deck box,deck box; patio box; outdoor box; storage box,10,18,25,40,70,110,No,Yes,30,Yes,3,4,6,0,0,0,0,1,1.5,0,0,0,1,1.5,2.5,0.5,0.5,1,0.9,1,1.1,,,
1040,plastic storage bin,storage bin; tote; storage tote,3,5,8,5,10,15,No,Yes,30,Yes,2,2,3,0,0,0,0,0,0,0,0,0,0.5,0.5,1,0.5,0.5,0.5,0.85,0.95,1.05,,,
1041,suitcase,suitcase; luggage; travel bag; travel case,4,6,10,10,20,35,No,Yes,30,Yes,2,2,3,0,0,0,0,0,0,0,0,0,0.5,0.5,1,0.5,0.5,0.5,0.85,0.95,1.05,,,
1042,wall cabinet,wall cabinet; mounted cabinet; wall unit,10,18,25,40,70,110,Maybe,Yes,15,Usually,3,4,6,0,0,0,0,1,1.5,0,0,0,1,2,3,0.5,1,1,0.9,1,1.1,,,
1043,locker,locker; storage locker; gym locker,15,25,40,80,140,220,Maybe,Yes,15,Usually,5,7,10,0,0,0,0.5,2,3.5,1,2,3.5,2.5,4,6,1,1.5,2.5,0.95,1.05,1.15,,,
1044,safe,safe; security safe; lock safe; heavy safe; gun safe,10,25,50,80,200,500,Yes,No,0,Maybe,6,9,14,0,0,0,0,0,0,3,6.5,15,4,7,12,2,3.5,6,1,1.1,1.2,,,
1045,chair,chair; accent chair; armchair; side chair,5,8,12,15,30,50,No,Yes,30,Yes,2,3,4,0,0,0,0,0,0,0,0,0,0.5,1,1,0.5,0.5,0.5,0.85,0.95,1.05,,,
1046,recliner,recliner; lounge chair,15,25,40,70,120,200,Yes,No,0,Usually,5,7,10,0,0,0,1,2,3.5,1,2,3.5,2.5,4,6,1,2,3,0.95,1.05,1.15,,,
1047,office chair,office chair; desk chair; computer chair; swivel chair; ergonomic chair,6,10,16,20,40,70,No,Yes,30,Yes,2,3,4,0,0,0,0,0,0,0,0,0,0.5,1,1,0.5,0.5,0.5,0.85,0.95,1.05,,,
1048,dining chair,dining chair; kitchen chair; table chair,5,8,12,15,30,50,No,Yes,30,Yes,2,3,4,0,0,0,0,0,0,0,0,0,0.5,1,1,0.5,0.5,0.5,0.85,0.95,1.05,,,
1049,stool,stool; bar stool; vanity stool; makeup stool; dressing stool,3,5,8,10,20,35,No,Yes,30,Yes,2,2,3,0,0,0,0,0,0,0,0,0,0.5,0.5,1,0.5,0.5,0.5,0.85,0.95,1.05,,,
1050,ottoman,ottoman; pouf; storage ottoman,5,8,12,20,40,70,No,Yes,15,Yes,2,3,4,0,0,0,0,0,0,0,0,0,0.5,1,1,0.5,0.5,0.5,0.85,0.95,1.05,,,
1051,sofa,sofa; couch; loveseat,34,55,85,130,220,340,Yes,No,0,Usually,7,11,15,0,0,0,4,7,10.5,3,5,7.5,4.5,7,10,2,3.5,5,1,1.1,1.2,,,
1052,sectional sofa,sectional sofa; sectional; l shape sofa; corner sofa; sectional couch,55,85,130,220,340,520,Yes,No,0,Usually,12,18,24,0,0,0,7.5,11,16.5,5.5,8.5,13,7.5,11,15.5,3.5,5.5,8,1,1.1,1.2,,,
1053,chaise lounge,chaise lounge; chaise; sofa chaise,22,38,58,90,150,230,Yes,No,0,Usually,5,8,11,0,0,0,2.5,4.5,6.5,1.5,2.5,4,3,5,7,1.5,2.5,3.5,0.95,1.05,1.15,,,
1054,hanging chair,hanging chair; egg chair; swing chair; pod chair; hammock chair,10,18,25,40,70,110,Maybe,No,0,Usually,3,4,6,0,0,0,0,1,1.5,0,0,0,1.5,2,3,0.5,1,1,0.9,1,1.1,,,
1055,massage chair,massage chair; massage recliner; electric massage chair; shiatsu chair,24,36,52,110,180,260,Yes,No,0,Usually,7,10,13,0,0,0,2,3.5,5,2.5,3.5,5.5,4,6,8,2,3,4,0.95,1.05,1.15,,,
1056,tv,tv; television; flat screen tv,4,8,14,20,40,80,Maybe,No,0,Yes,2,4,6,0,0,0,0,0,0,0,0,0,1,2.5,3.5,0.5,1,1,0.9,1,1.1,,,
1057,monitor,monitor; computer monitor; display monitor,2,4,6,10,20,35,No,No,0,Yes,2,2,3,0,0,0,0,0,0,0,0,0,1,1,2,0.5,0.5,0.5,0.85,0.95,1.05,,,
1058,computer,computer; desktop computer; computer tower; desktop pc,2,4,6,10,20,35,No,Yes,15,Yes,2,2,3,0,0,0,0,0,0,0,0,0,0.5,0.5,1,0.5,0.5,0.5,0.85,0.95,1.05,,,
1059,printer,printer; office printer; laser printer; inkjet printer,4,8,14,20,45,80,No,Yes,15,Yes,3,4,6,0,0,0,0,0,0,0,0,0,1,1,2,0.5,0.5,0.5,0.85,0.95,1.05,,,
1060,floor speaker,floor speaker; large speaker; tower speaker; big speaker,8,15,25,40,80,140,Maybe,No,0,Usually,4,5,7,0,0,0,0,0.5,1.5,0,0,1,1.5,2.5,3.5,0.5,1,1.5,0.9,1,1.1,,,
1061,stereo console,stereo console; stereo system; sound system; audio console,12,20,35,60,120,200,Maybe,Yes,15,Usually,5,7,10,0,0,0,0,1,2,0.5,1.5,3,2,3.5,5.5,0.5,1.5,2.5,0.95,1.05,1.15,,,
1062,mini fridge,mini fridge; small fridge; bar fridge; dorm fridge,8,12,18,40,70,110,No,Yes,15,Yes,2,3,4,0,0,0,0,0,1,0.5,0.5,0.5,0.5,1,1.5,0.5,0.5,0.5,0.85,0.95,1.05,,,
1063,refrigerator,refrigerator; fridge; fridge freezer,30,50,80,150,250,400,Yes,Usually,0,Usually,7,11,15,0,0,0,3.5,6,9.5,4,6,9.5,4.5,7,10.5,2,3.5,5.5,1,1.1,1.2,,,
1064,freezer,freezer; deep freezer; chest freezer; upright freezer,25,40,60,120,200,320,Yes,Usually,0,Usually,7,10,13,0,0,0,3,5,7,3,5,7.5,4,6.5,8.5,2,3,4.5,0.95,1.05,1.15,,,
1065,washer,washer; washing machine; clothes washer,15,25,35,150,200,250,Yes,Usually,0,Usually,6,8,11,0,0,0,1,2,2.5,3.5,4.5,5.5,3.5,5,6.5,1.5,2.5,3,0.95,1.05,1.15,,,
1066,dryer,dryer; clothes dryer; tumble dryer,15,25,35,120,160,220,Yes,Usually,0,Usually,6,8,11,0,0,0,1,2,2.5,3,3.5,5,3.5,5,6.5,1.5,2.5,3,0.95,1.05,1.15,,,
1067,washer dryer combo,washer dryer combo; combo washer dryer; laundry center,20,35,50,180,240,320,Yes,Usually,0,Usually,7,10,14,0,0,0,1.5,3.5,4.5,4.5,6,8,4.5,6.5,8.5,2,3,4,1,1.1,1.2,,,
1068,dishwasher,dishwasher; built in dishwasher,10,18,25,80,120,160,Yes,Usually,0,Usually,4,6,8,0,0,0,0,1,1.5,1.5,2.5,3,2.5,3.5,5,1,1.5,2.5,0.9,1,1.1,,,
1069,stove,stove; oven; range,20,30,40,120,180,250,Yes,Usually,0,Usually,6,8,11,0,0,0,1.5,2.5,3.5,3,4,5.5,3.5,5,7,1.5,2.5,3.5,0.95,1.05,1.15,,,
1070,microwave,microwave; microwave oven,3,5,8,15,30,50,No,Yes,15,Yes,2,2,3,0,0,0,0,0,0,0,0,0,0.5,0.5,1,0.5,0.5,0.5,0.85,0.95,1.05,,,
1071,water dispenser,water dispenser; water cooler; office water cooler; bottle water cooler,6,10,16,30,50,80,No,Yes,15,Yes,2,3,4,0,0,0,0,0,0,0,0,0,0.5,1,1,0.5,0.5,0.5,0.85,0.95,1.05,,,
1072,portable ac,portable ac; portable air conditioner; ac unit,8,12,18,40,60,90,No,Yes,15,Yes,3,4,6,0,0,0,0,0,1,0,0,0,1,1,2.5,0.5,0.5,1,0.9,1,1.1,,,
1073,dehumidifier,dehumidifier; humidity remover,4,6,10,20,35,60,No,Yes,15,Yes,2,3,4,0,0,0,0,0,0,0,0,0,0.5,1,1,0.5,0.5,0.5,0.85,0.95,1.05,,,
1074,treadmill,treadmill; running machine,20,35,55,120,200,320,Yes,No,0,Usually,6,9,12,3,5,8,2.5,4.5,7,2.5,4.5,7,3.5,6,8,1.5,3,4,0.95,1.05,1.15,,,
1075,elliptical,elliptical; elliptical machine,18,30,50,120,180,260,Yes,No,0,Usually,6,8,11,0,0,0,2,4,6,2.5,4,5.5,3.5,5.5,7.5,1.5,2.5,3.5,0.95,1.05,1.15,,,
1076,exercise bike,exercise bike; stationary bike; spin bike,15,25,40,80,140,220,Yes,No,0,Usually,4,6,9,0,0,0,1.5,2.5,4,1.5,2.5,4.5,2.5,4,6,1,2,3,0.95,1.05,1.15,,,
1077,rowing machine,rowing machine; rower,15,25,40,80,140,220,Yes,No,0,Usually,4,6,9,0,0,0,1.5,2.5,4,1.5,2.5,4.5,2.5,4,6,1,2,3,0.95,1.05,1.15,,,
1078,weight bench,weight bench; workout bench; gym bench,10,18,25,60,100,160,Maybe,Yes,15,Yes,3,4,6,0,0,0,0,1,1.5,0,1,2.5,1,2.5,3.5,0.5,1,1.5,0.9,1,1.1,,,
1079,dumbbell set,dumbbell set; free weights; dumbbells,5,10,20,80,150,300,Yes,No,0,Yes,3,5,8,0,0,0,0,0,1,1.5,3,6,2,3,5.5,1,1.5,2.5,0.9,1,1.1,,,
1080,barbell set,barbell; weight plates; barbell set; olympic weights,5,12,25,100,200,400,Yes,No,0,Yes,3,5,8,0,0,0,0,0,2,2,4,8,2,3.5,6,1,1.5,3,0.95,1.05,1.15,,,
1081,home gym,home gym; gym machine; cable machine; bowflex; workout machine,30,50,80,200,350,500,Yes,No,0,Usually,8,12,16,6,9,14,4,6.5,10,6.5,11,16,6.5,10.5,15,3,5.5,7.5,1,1.1,1.2,,,
1082,power rack,power rack; squat rack; gym rack; weight rack,25,40,70,150,250,400,Yes,No,0,Usually,7,10,14,5,8,12,3.5,5,9,5,8.5,13.5,5.5,9,13.5,2.5,4.5,7,1,1.1,1.2,,,
1083,punching bag,punching bag; boxing bag; heavy bag,8,15,25,60,120,200,Maybe,Yes,0,Yes,3,4,6,0,0,0,0,0,1,0,1,2.5,1,2,3.5,0.5,1,1.5,0.9,1,1.1,,,
1084,game table,game table; foosball table; air hockey; game table,25,40,70,120,200,300,Yes,No,0,Usually,7,10,14,0,0,0,3,5,8.5,2.5,4,6.5,4,6,9,2,3,4.5,1,1.1,1.2,,,
1085,ping pong table,ping pong table; table tennis,15,25,40,60,100,160,Maybe,Yes,0,Usually,4,6,9,0,0,0,0.5,2,3.5,0,0.5,2,1.5,3,5,0.5,1,2,0.9,1,1.1,,,
1086,pool table,pool table; billiards table; snooker table,50,80,120,400,600,900,Yes,No,0,No,10,14,20,5,8,12,8,13,19,11,16.5,24.5,7.5,11.5,16.5,3.5,5.5,8,1,1.1,1.2,,,
1087,arcade machine,arcade machine; arcade game; arcade cabinet; video game machine,35,60,90,200,300,450,Yes,No,0,Usually,8,12,16,0,0,0,4.5,7.5,11,6,9,14,6.5,10,14.5,3,5,7.5,1,1.1,1.2,,,
1088,pinball machine,pinball machine; pinball table,40,65,95,250,350,500,Yes,No,0,Usually,9,13,18,0,0,0,5,8.5,11.5,7.5,10.5,15.5,7,11,15.5,3.5,5.5,8,1,1.1,1.2,,,
1089,piano upright,upright piano; standing piano,40,70,100,300,400,600,Yes,No,0,No,10,14,20,0,0,0,4,7,10,8.5,12,18,7,10,15,3,4.5,7,1,1.1,1.2,,,
1090,piano grand,grand piano; baby grand piano,80,120,180,500,800,1200,Yes,No,0,No,14,20,30,8,12,18,6,10,15,14,22,33,9.5,15,22,4.5,7,9,1,1.1,1.2,,,
1091,aquarium,aquarium; fish tank,15,30,60,120,250,500,Yes,No,0,Usually,5,7,10,0,0,0,1,3,6,4,7,14,4.5,7.5,12.5,2,3.5,6.5,1,1.1,1.2,,,
1092,hot tub,hot tub; jacuzzi; spa tub,60,100,150,400,700,1000,Yes,No,0,No,14,20,30,10,14,20,6,10,15,11.5,19.5,29,9,14,21,4,6.5,9,1,1.1,1.2,,,
1093,bbq grill,bbq grill; barbecue; grill,10,18,25,40,70,110,Maybe,No,0,Usually,3,4,6,0,0,0,0,1.5,2.5,0,0,0,1.5,2,3.5,0.5,1,1.5,0.9,1,1.1,,,
1094,lawn mower,lawn mower; mower,8,12,18,40,70,110,No,Yes,15,Yes,2,3,4,0,0,0,0,0,1,0,0,0,0.5,1,1.5,0.5,0.5,0.5,0.85,0.95,1.05,,,
1095,snow blower,snow blower; snow thrower,12,20,30,60,100,160,No,Yes,15,Yes,3,5,7,0,0,0,0.5,1.5,2,0,0,1,1,2,3,0.5,1,1.5,0.9,1,1.1,,,
1096,bicycle,bicycle; bike,6,10,16,20,35,60,No,Yes,15,Yes,2,3,4,0,0,0,0,0,0,0,0,0,0.5,1,1,0.5,0.5,0.5,0.85,0.95,1.05,,,
1097,ladder,ladder; step ladder; extension ladder,6,10,20,20,40,80,No,Yes,15,Yes,2,3,5,0,0,0,0,0,0.5,0,0,0,0.5,1,1.5,0.5,0.5,0.5,0.85,0.95,1.05,,,
1098,planter,planter; plant pot; flower pot,5,10,20,20,40,80,No,Yes,15,Yes,2,3,5,0,0,0,0,0,0.5,0,0,0,0.5,1,1.5,0.5,0.5,0.5,0.85,0.95,1.05,,,
1099,patio umbrella,patio umbrella; outdoor umbrella,4,6,10,10,20,35,No,Yes,30,Yes,2,2,3,0,0,0,0,0,0,0,0,0,0.5,0.5,1,0.5,0.5,0.5,0.85,0.95,1.05,,,
1100,garden tools,garden tools; yard tools; tool bundle,4,8,15,20,40,70,No,Yes,30,Yes,2,3,4,0,0,0,0,0,0,0,0,0,0.5,1,1,0.5,0.5,0.5,0.85,0.95,1.05,,,
1101,air compressor,air compressor; compressor; shop compressor,10,18,30,60,120,200,Maybe,Yes,0,Usually,3,5,7,0,0,0,0,0.5,1.5,0,1,2.5,1,2.5,4,0.5,1,1.5,0.9,1,1.1,,,
1102,shop vac,shop vac; shop vacuum; wet dry vac; wet dry vacuum,6,10,16,25,45,70,No,Yes,15,Yes,2,3,4,0,0,0,0,0,0,0,0,0,0.5,1,1,0.5,0.5,0.5,0.85,0.95,1.05,,,
1103,pressure washer,pressure washer; power washer; jet washer,8,12,20,35,60,100,No,Yes,15,Yes,2,3,5,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,1,1.5,0.5,0.5,0.5,0.85,0.95,1.05,,,
1104,generator,generator; portable generator; power generator,10,18,28,60,120,200,Maybe,Yes,0,Usually,3,5,7,0,0,0,0,1,2,1.5,3.5,6.5,2.5,5,7.5,1,2.5,3.5,0.95,1.05,1.15,,,
1105,wheelbarrow,wheelbarrow; garden wheelbarrow,8,12,18,25,45,70,No,Yes,15,Yes,2,3,4,0,0,0,0,0,0.5,0,0,0,0.5,1,1.5,0.5,0.5,0.5,0.85,0.95,1.05,,,
1106,riding lawn mower,riding mower; riding lawn mower; lawn tractor,40,70,110,250,400,600,Yes,No,0,No,8,12,18,0,0,0,5,9,13.5,7,11.5,17.5,6.5,11,16.5,3.5,5.5,8.5,1,1.1,1.2,,,
1107,fire pit,fire pit; outdoor fire pit; patio fire pit,10,18,28,40,80,140,Maybe,Yes,15,Usually,3,4,6,0,0,0,0,0.5,1.5,0,0,1,1,1.5,3.5,0.5,0.5,1.5,0.9,1,1.1,,,
1108,patio heater,patio heater; outdoor heater; propane heater,12,20,30,50,90,150,Maybe,No,0,Usually,3,5,7,0,0,0,0.5,1,2,0,0,1.5,1.5,2.5,4,0.5,1,1.5,0.9,1,1.1,,,
1109,trampoline,trampoline; backyard trampoline; outdoor trampoline,25,40,70,80,120,180,Yes,Usually,0,Usually,6,9,12,5,8,12,3,5,8.5,1.5,2,3.5,3.5,5.5,7.5,1.5,2.5,4,0.95,1.05,1.15,,,
1110,area rug,area rug; rug,5,10,20,20,40,80,No,Yes,30,Yes,2,3,6,0,0,0,0,0,0.5,0,0,0,0.5,1,2,0.5,0.5,0.5,0.9,1,1.1,,,
1111,large rug,large rug; oversized rug; big rug; carpet roll,15,25,40,40,80,150,Maybe,Usually,15,Usually,4,6,9,0,0,0,1,2,3.5,0,0,1.5,2,3,5,1,1,2,0.9,1,1.1,,,
1112,floor lamp,floor lamp; standing lamp,3,5,8,10,20,35,No,Yes,15,Yes,2,2,3,0,0,0,0,0,0,0,0,0,0.5,0.5,1,0.5,0.5,0.5,0.85,0.95,1.05,,,
1113,artwork,artwork; painting; framed art; wall art; picture frame,2,4,8,5,15,30,No,Yes,0,Yes,2,2,3,0,0,0,0,0,0,0,0,0,1,1,1.5,0.5,0.5,0.5,0.85,0.95,1.05,,,
1114,christmas tree,christmas tree; xmas tree; artificial tree,6,10,20,15,30,60,No,Yes,30,Yes,3,5,7,0,0,0,0,0,0.5,0,0,0,1,1.5,2,0.5,0.5,0.5,0.9,1,1.1,,,
1115,cat tree,cat tree; cat tower; pet tower; scratching post,8,15,25,30,60,100,Maybe,Usually,15,Yes,3,5,7,0,0,0,0,0.5,1.5,0,0,0,1.5,2.5,3.5,0.5,1,1.5,0.9,1,1.1,,,
