Id,CanonicalItem,Aliases,CuFtS,CuFtM,CuFtL,WeightSLb,WeightMLb,WeightLLb,TwoPersonFlag,StackableFlag,StackableSavingsPct,FitsElevatorHint,BaseTimeSMin,BaseTimeMMin,BaseTimeLMin,DisassemblyAdderSMin,DisassemblyAdderMMin,DisassemblyAdderLMin,BulkyAdderSMin,BulkyAdderMMin,BulkyAdderLMin,HeavyAdderSMin,HeavyAdderMMin,HeavyAdderLMin,StairsAdderPerFlightSMin,StairsAdderPerFlightMMin,StairsAdderPerFlightLMin,ElevatorAdderPerRideSMin,ElevatorAdderPerRideMMin,ElevatorAdderPerRideLMin,UnloadMultiplierMainFloor,UnloadMultiplierElevator,UnloadMultiplierStairs,ClassificationLogicNotes,CreatedAt,UpdatedAt
178,Weight bench,incline bench,10,15,22,60,90,130,S: maybe / M: yes / L: yes,No,0,Yes,6,8,12,0,0,0,0,0,0,0,0,0,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,NULL,14:44.0,14:44.0
179,Rowing machine,rower,12,18,25,70,110,160,S: maybe / M: yes / L: yes,No,0,Yes,8,10,14,0,0,0,0,0,0,0,0,0,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,NULL,14:44.0,14:44.0
180,Stationary bike,spin bike; recumbent,12,18,28,90,140,200,S: maybe / M: yes / L: yes,No,0,Maybe,8,12,18,0,0,0,0,0,0,2,4,8,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,NULL,14:44.0,14:44.0
181,Elliptical,elliptical trainer,20,30,45,150,200,280,S: yes / M: yes / L: yes,No,0,Maybe,10,16,24,0,0,0,3,6,12,3,6,12,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,NULL,14:44.0,14:44.0
182,Treadmill,folding; commercial,20,35,55,150,220,350,S: yes / M: yes / L: yes,No,0,Maybe,10,16,26,0,0,0,3,6,12,3,6,12,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,NULL,14:44.0,14:44.0
183,Safe,home safe; gun safe,8,15,30,120,250,500,S: yes / M: yes / L: yes,No,0,Often no for L,10,16,28,0,0,0,0,0,0,6,12,24,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,NULL,14:44.0,14:44.0
184,Dehumidifier,basement unit,5,8,12,35,55,75,S: no / M: maybe / L: yes,No,0,Yes,3,5,7,0,0,0,0,0,0,0,0,0,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,NULL,14:44.0,14:44.0
185,Outdoor sofa,sectional patio,20,35,60,70,120,200,S: maybe / M: yes / L: yes,No,0,Maybe,8,12,20,0,0,0,3,6,12,0,0,0,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,NULL,14:44.0,14:44.0
186,Ladder,6ft; 8ft; 12ft,6,8,12,25,35,55,S: no / M: no / L: no,Yes,40,Yes,3,4,6,0,0,0,0,0,0,0,0,0,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,NULL,14:44.0,14:44.0
187,Patio umbrella,market umbrella,4,6,10,20,30,45,S: no / M: no / L: yes,No,0,Yes,3,4,6,0,0,0,0,0,0,0,0,0,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,NULL,14:44.0,14:44.0
188,Lawn mower,push; self-propelled; rider,10,18,45,60,90,300,S: maybe / M: maybe / L: yes,No,0,Yes,6,10,18,0,0,0,0,0,0,2,4,12,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,NULL,14:44.0,14:44.0
189,Bed (frame),twin/queen/king frame; headboard,10,18,28,40,90,140,S: maybe / M: yes / L: yes,No,0,Usually fits if disassembled,10,16,28,10,20,30,3,6,12,3,6,12,3,6,12,1.2,1.7,2.5,0.7,0.8,0.85,S: twin; M: full/queen; L: king/ornate,14:44.0,14:44.0
190,Couch,loveseat; 3-seater couch; sleeper sofa,45,75,140,110,180,300,S: maybe / M: yes / L: yes,No,0,S small/med often yes (turned); L often no,12,18,30,5,10,20,8,12,20,5,10,18,4,8,16,1.2,1.7,2.5,0.7,0.8,0.85,S: loveseat; M: 3-seater; L: large bulky sofa,14:44.0,14:44.0
191,Chair,dining chair; office chair; armchair; recliner,5,12,22,15,70,110,S: no / M: no / L: yes,Yes,50,Fits elevator,2,3,5,0,5,8,0,2,4,0,3,6,1,2,3,1.2,1.7,2.5,0.7,0.8,0.85,S: dining/small office; M: armchair/recliner; L: heavy recliner,14:44.0,14:44.0
192,Table,coffee table; dining table; desk,6,20,40,25,100,180,S: no / M: maybe / L: yes,No,0,S/M yes; L maybe only if disassembled,6,12,20,5,10,15,2,6,12,2,6,12,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,S: side/coffee; M: 4-seat dining/desk; L: 6–10 seat,14:44.0,14:44.0
193,Shelves (assembled),bookcase; bookshelf; cube shelf,8,18,45,35,70,150,S: no / M: maybe / L: yes,Yes,40,Usually fits if disassembled,8,14,22,5,10,20,3,6,12,2,6,12,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,S: small 2–3 tier; M: 4–5 shelf; L: tall/oversized,14:44.0,14:44.0
194,Cabinets & chests,nightstands; chest; dresser; wardrobe; armoire,6,25,60,40,120,220,S: maybe / M: yes / L: yes,No,0,S/M usually yes; L often no (needs disassembly),12,22,40,10,20,40,5,10,20,5,10,20,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,S: nightstands; M: 4–5-drawer dresser; L: wardrobe/armoire,14:44.0,14:44.0
195,Boxes - large,5.0 cu ft,5,5,5,60,60,60,S: no / M: no / L: no,Yes,70,Yes,2.5,2.5,2.5,0,0,0,0,0,0,0,0,0,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,NULL,14:44.0,14:44.0
196,Boxes - medium,3.0 cu ft,3,3,3,40,40,40,S: no / M: no / L: no,Yes,70,Yes,2,2,2,0,0,0,0,0,0,0,0,0,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,NULL,14:44.0,14:44.0
197,Boxes - small,1.5 cu ft,1.5,1.5,1.5,25,25,25,S: no / M: no / L: no,Yes,70,Yes,1.5,1.5,1.5,0,0,0,0,0,0,0,0,0,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,NULL,14:44.0,14:44.0
198,Suitcase (packed),luggage,4,6,10,30,45,65,S: no / M: no / L: no,Yes,60,Yes,2,3,4,0,0,0,0,0,0,0,0,0,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,NULL,14:44.0,14:44.0
199,Printer,inkjet; laser,4,8,12,25,45,75,S: no / M: maybe / L: yes,Yes,30,Yes,3,5,7,0,0,0,0,0,0,0,0,0,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,NULL,14:44.0,14:44.0
200,Computer tower + monitor,PC set,4,6,10,25,45,65,S: no / M: maybe / L: yes,Yes,40,Yes,3,5,7,0,0,0,0,0,0,0,0,0,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,Prefer original boxes,14:44.0,14:44.0
201,Space heater,heater,3,4,6,15,25,35,S: no / M: no / L: no,Yes,40,Yes,2,3,4,0,0,0,0,0,0,0,0,0,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,NULL,14:44.0,14:44.0
202,Portable AC,window/portable AC,6,10,14,55,80,110,S: maybe / M: yes / L: yes,No,0,Yes,4,6,8,0,0,0,0,0,0,0,0,0,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,NULL,14:44.0,14:44.0
203,Large planter,ceramic planter,6,10,16,40,80,140,S: maybe / M: yes / L: yes,No,0,Maybe,4,6,10,0,0,0,0,0,0,2,4,8,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,NULL,14:44.0,14:44.0
204,Garden tools bundle,rakes; shovels,5,8,12,20,35,50,S: no / M: no / L: no,Yes,50,Yes,3,4,6,0,0,0,0,0,0,0,0,0,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,NULL,14:44.0,14:44.0
205,Snow blower,single; two-stage,10,16,22,80,130,200,S: maybe / M: yes / L: yes,No,0,Yes,6,10,14,0,0,0,0,0,0,2,4,8,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,NULL,14:44.0,14:44.0
206,Deck box,outdoor storage,8,12,18,35,55,85,S: no / M: maybe / L: yes,No,0,Yes,3,5,8,0,0,0,0,0,0,0,0,0,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,NULL,14:44.0,14:44.0
207,TV + media stand,entertainment unit; console stand,10,20,50,35,80,180,S: maybe / M: maybe / L: yes,No,0,Usually yes (stand may disassemble),6,12,18,5,10,15,1,3,5,1,3,5,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,S: small stand <3 ft; M: console 4–5 ft; L: large entertainment unit,14:44.0,14:44.0
208,Bicycle,bike,8,10,12,25,35,45,S: no / M: no / L: no,Yes,40,Yes,4,6,8,0,0,0,0,0,0,0,0,0,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,NULL,14:44.0,14:44.0
209,Workbench,garage table,12,25,40,70,120,200,S: maybe / M: yes / L: yes,No,0,Maybe,6,12,20,0,0,0,2,4,8,0,0,0,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,NULL,14:44.0,14:44.0
210,Artwork/Framed,framed art; canvas,2,4,6,10,20,35,S: no / M: no / L: yes,Yes,30,Yes,3,5,7,0,0,0,0,0,0,0,0,0,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,Fragile,14:44.0,14:44.0
211,Floor lamp,lamp,2,3,4,10,15,20,S: no / M: no / L: yes,Yes,50,Yes,2,3,4,0,0,0,0,0,0,0,0,0,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,NULL,14:44.0,14:44.0
212,Area rug,5x7; 8x10; 10x14,5,10,18,25,45,80,S: no / M: no / L: yes,Yes,50,Yes,3,5,8,0,0,0,1,2,3,0,0,0,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,NULL,14:44.0,14:44.0
213,Bookcase,bookshelf,8,18,45,35,70,150,S: no / M: maybe / L: yes,Yes,40,Usually fits disassembled,8,14,22,5,10,20,3,6,12,2,6,12,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,NULL,14:44.0,14:44.0
214,Media console,TV stand; entertainment unit,10,20,50,35,80,180,S: maybe / M: maybe / L: yes,No,0,Usually yes,6,12,18,5,10,15,1,3,5,1,3,5,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,NULL,14:44.0,14:44.0
215,TV (flat panel),32in; 55in; 75in,3,6,10,20,35,65,S: no / M: yes / L: yes,Yes,30,Yes,4,6,10,0,10,15,0,1,3,0,2,5,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,Original box improves stackability,14:44.0,14:44.0
216,End table,side table,3,6,8,20,35,55,S: no / M: no / L: yes,No,0,Yes,3,4,6,0,0,0,0,0,0,0,0,0,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,NULL,14:44.0,14:44.0
217,Coffee table,center table,6,10,16,25,60,95,S: no / M: maybe / L: yes,No,0,Yes,4,6,9,0,2,4,1,2,4,0,0,0,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,NULL,14:44.0,14:44.0
218,Armchair,accent chair,8,12,18,40,65,95,S: no / M: no / L: yes,No,0,Yes,4,6,8,0,0,0,1,2,4,0,0,0,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,NULL,14:44.0,14:44.0
219,Recliner,power recliner; lounge chair,12,18,26,75,110,160,S: no / M: yes / L: yes,No,0,Maybe,6,9,12,0,0,0,2,4,6,2,4,6,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,Power units heavier,14:44.0,14:44.0
220,Wardrobe moving box,portable wardrobe box,8,10,12,35,45,55,S: no / M: no / L: yes,No,0,Yes,3,4,5,0,0,0,0,0,0,0,0,0,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,Hanging clothes,14:44.0,14:44.0
221,Mirror,wall mirror; dresser mirror,2,4,8,15,30,55,S: no / M: maybe / L: yes,No,0,Yes,3,5,8,0,0,0,1,2,4,0,0,0,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,Fragile handling,14:44.0,14:44.0
222,Wardrobe/Armoire,wardrobe; armoire,25,45,70,130,200,280,S: yes / M: yes / L: yes,No,0,Often no for L,16,26,45,10,20,40,6,12,20,6,12,20,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,L often requires disassembly,14:44.0,14:44.0
223,Dresser,4-drawer; 5-drawer; 8-drawer,12,25,60,80,120,220,S: no / M: yes / L: yes,No,0,S/M yes; L may not,12,22,40,10,20,40,5,10,20,5,10,20,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,L may need drawers removed,14:44.0,14:44.0
224,Nightstand,bedside table,4,6,8,25,35,55,S: no / M: maybe / L: yes,No,0,Yes,3,5,7,0,0,0,0,0,0,0,0,0,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,Pair counted as two,14:44.0,14:44.0
225,Box spring/Foundation,twin; queen; split king,10,18,25,25,45,70,S: no / M: maybe / L: yes,No,0,Usually fits elevator,4,6,8,0,0,0,1,2,4,0,0,0,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,Split king counts as two S,14:44.0,14:44.0
226,Mattress,twin; full; queen; king,15,30,45,35,65,105,S: no / M: maybe / L: yes,No,0,Usually fits elevator,4,6,10,0,0,0,2,4,6,1,3,6,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,Foam vs spring changes weight +/-15%,14:44.0,14:44.0
227,Dining table,4-seat; 6-seat; 10-seat,12,25,40,80,120,200,S: no / M: maybe / L: yes,No,0,S/M yes; L maybe disassembled,6,12,20,5,10,15,2,6,12,2,6,12,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,NULL,14:44.0,14:44.0
228,Tool chest,rolling tool chest,10,18,28,80,140,220,S: maybe / M: yes / L: yes,No,0,Maybe,6,10,16,0,0,0,0,0,0,2,4,8,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,NULL,14:44.0,14:44.0
229,Dining chair,chair,5,8,10,15,20,25,S: no / M: no / L: no,Yes,50,Yes,2,3,4,0,0,0,0,1,2,0,0,0,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,Stackable chairs save time,14:44.0,14:44.0
230,China cabinet,hutch; buffet,18,30,55,120,200,300,S: yes / M: yes / L: yes,No,0,L may not,12,20,36,6,12,24,4,8,16,4,8,16,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,NULL,14:44.0,14:44.0
231,Metal shelving unit,garage shelves,10,18,30,45,80,140,S: maybe / M: yes / L: yes,Yes,40,Disassemble for elevator,6,12,18,4,8,16,0,0,0,0,0,0,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,NULL,14:44.0,14:44.0
232,Plastic storage bin (filled),tote,3,4,5,25,35,45,S: no / M: no / L: no,Yes,60,Yes,2,3,4,0,0,0,0,0,0,0,0,0,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,NULL,14:44.0,14:44.0
233,Bunk bed,bunk,25,40,65,120,180,260,S: yes / M: yes / L: yes,No,0,No (as one piece),12,20,36,10,20,30,0,0,0,0,0,0,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,NULL,14:44.0,14:44.0
234,Toy chest,storage chest,6,10,16,25,40,60,S: no / M: no / L: yes,No,0,Yes,3,5,7,0,0,0,0,0,0,0,0,0,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,NULL,14:44.0,14:44.0
235,Changing table,dresser changer,8,12,18,45,70,100,S: no / M: maybe / L: yes,No,0,Yes,4,6,8,0,0,0,0,0,0,0,0,0,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,NULL,14:44.0,14:44.0
236,Crib,baby crib,12,22,35,60,90,130,S: maybe / M: yes / L: yes,No,0,Usually fits disassembled,8,12,18,6,12,18,0,0,0,0,0,0,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,NULL,14:44.0,14:44.0
237,Filing cabinet,2-drawer; 4-drawer,8,15,25,60,120,200,S: maybe / M: yes / L: yes,No,0,Maybe,6,10,16,0,0,0,0,0,0,2,4,8,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,NULL,14:44.0,14:44.0
238,Office chair,task chair,5,8,10,20,30,45,S: no / M: no / L: yes,Yes,40,Yes,2,3,4,0,0,0,0,0,0,0,0,0,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,NULL,14:44.0,14:44.0
239,Office desk,writing; L-shaped,12,25,45,80,140,220,S: maybe / M: maybe / L: yes,No,0,Maybe,6,12,20,4,8,16,2,6,12,0,0,0,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,NULL,14:44.0,14:44.0
240,Dryer,tumble dryer,22,30,40,120,150,200,S: yes / M: yes / L: yes,No,0,Yes,8,12,16,0,0,0,0,0,0,0,0,0,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,NULL,14:44.0,14:44.0
241,Washer,washing machine,25,35,45,160,200,250,S: yes / M: yes / L: yes,No,0,Maybe,10,14,18,0,0,0,0,0,0,3,5,8,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,NULL,14:44.0,14:44.0
242,Chest freezer,freezer,20,35,55,90,150,220,S: maybe / M: yes / L: yes,No,0,Maybe,8,12,18,0,0,0,2,4,8,2,4,8,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,NULL,14:44.0,14:44.0
243,Microwave,counter; over-the-range,4,6,10,25,55,75,S: no / M: maybe / L: yes,Yes,30,Yes,3,5,7,0,4,6,0,0,0,0,0,0,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,NULL,14:44.0,14:44.0
244,Dishwasher,DW,12,18,22,100,130,160,S: yes / M: yes / L: yes,No,0,Yes,8,10,12,0,0,0,0,0,0,0,0,0,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,NULL,14:44.0,14:44.0
245,Range/Oven,stove,25,35,45,140,180,240,S: yes / M: yes / L: yes,No,0,Maybe,10,14,18,0,0,0,4,6,8,4,6,8,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,NULL,14:44.0,14:44.0
246,Refrigerator,top-freezer; french-door; built-in,35,55,85,180,280,450,S: yes / M: yes / L: yes,No,0,Often no for L,12,20,30,4,8,12,6,10,16,6,12,20,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,Secure doors; protect floors,14:44.0,14:44.0
247,Kitchen island (movable),butcher block,8,16,28,60,110,180,S: maybe / M: yes / L: yes,No,0,Maybe,6,10,16,0,0,0,2,4,8,2,4,8,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,NULL,14:44.0,14:44.0
248,Bar stool,counter stool,4,6,8,15,20,25,S: no / M: no / L: no,Yes,40,Yes,2,3,4,0,0,0,0,0,0,0,0,0,2,4,8,1.2,1.7,2.5,0.7,0.8,0.85,NULL,14:44.0,14:44.0
249,TVs (flat panels),television; flatscreen; monitor,3,6,10,20,35,65,S: no / M: yes / L: yes,Yes,30,Fits elevator,4,6,10,0,10,15,0,1,3,0,2,5,1,2,4,1.2,1.7,2.5,0.7,0.8,0.85,S: 32–40 in (1 person); M: 42–55 in (2 people); L: 60+ in,14:44.0,14:44.0
250,queen_bed,"queen mattress and frame,queen bed frame with mattress,queen mattress",41,48,55,130,150,175,Yes,No,0,depends,12,18,25,10,15,20,4,6,8,0,5,10,1,2,3,0,1,2,0.9,1,1.1,"Queen mattress plus frame; bulky, often requires two movers and partial disassembly",00:00.0,00:00.0
251,small_dressing_vanity_table,"vanity table small,vanity desk small,makeup vanity small",10,10,10,60,60,60,No,No,0,yes,8,8,8,6,6,6,0,0,0,0,0,0,1,1,1,0,0,0,0.95,1,1.07,"Small vanity table — compact, single-piece or minor disassembly",00:00.0,00:00.0
252,vanity_stool_small,"vanity stool,vanity seat,makeup stool",5,5,5,15,15,15,No,Yes,15,yes,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,1,1.05,"Small vanity stool — light, usually single-mover and stackable",00:00.0,00:00.0
253,small_floating_nightstand,"floating nightstand,wall mounted nightstand,small wall shelf nightstand",4,4,4,20,20,20,No,No,0,yes,4,4,4,6,6,6,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0.95,1,1.05,"Small wall-mounted nightstand — requires unscrewing from wall, light but extra disassembly",00:00.0,00:00.0
254,round_vanity_mirror,"round mirror,vanity mirror,wall mirror round",2.5,3,4,30,35,45,No,No,0,depends,6,8,12,0,0,0,2,4,6,0,0,0,1,1.5,2,1,1.5,2,0.88,1.02,1.15,"Glass round vanity mirror — fragile, requires careful padding and handling",00:00.0,00:00.0
256,accent_armchair,"accent_chair, occasional_chair, upholstered_armchair, small_armchair",5.8,6.8,7.8,40,45,50,No,No,0,depends,4,8,12,0,0,0,0,4,6,0,0,0,0.5,1.5,3,0,1,2,0.9,1,1.1,"Small upholstered accent armchair; single-person carry, maps to chair archetype.",00:00.0,00:00.0
258,small_vanity_table,"vanity table,makeup vanity,dressing table small",15.3,18,20.7,35,40,45,No,No,0,yes,5,8,12,0,4,6,0,2,4,0,0,0,0,1,2,0,1,2,0.92,0.98,1.08,"small vanity table; light composite wood, minor disassembly possible",00:00.0,00:00.0
259,queen_bed_frame_and_mattress,"queen bed,queen mattress and frame,queen bed set",40.8,48,55.2,185,220,255,Yes,No,0,depends,8,12,18,8,15,20,4,6,8,5,10,15,1,2,4,1,2,3,0.9,1,1.15,"queen mattress plus frame combined; bulky and heavy, often two movers",00:00.0,00:00.0
260,small_vanity_stool,"vanity stool,makeup stool,padded stool",3.4,4,4.6,10,15,20,No,No,0,yes,4,6,8,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0.95,1,1.08,"small padded stool; light, single-mover",00:00.0,00:00.0
263,small_coffee_table,"coffee table,small cocktail table,center table",6.8,8,9.2,30,35,40,No,No,0,yes,4,6,8,0,0,0,0,0,2,0,0,0,0,1,2,0,1,1,0.94,1,1.1,"small coffee table; light to moderate weight, usually single-mover",00:00.0,00:00.0
264,small_side_table,"side table,end table,bedside table small",3.4,4,4.6,10,15,20,No,No,0,yes,3,5,7,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0.95,1,1.1,small side/bedside table; light and single-mover,00:00.0,00:00.0
265,round_side_table,"small round side table, end table, lamp table",6,8,10,20,25,30,No,No,0,yes,4,6,9,0,0,0,0,0,0,0,0,0,0.5,1,2,0.5,1,1.5,0.9,0.98,1.12,"compact round side table, light wooden end table",00:00.0,00:00.0
266,accent_chair,"accent chair, occasional chair, small accent chair",5,8,10,30,35,40,No,No,0,yes,5,8,10,0,0,0,0,0,0,0,0,0,0.5,1.5,2.5,0.5,1,1.5,0.9,0.98,1.1,"small upholstered accent chair, single-person carry",00:00.0,00:00.0
267,three_seat_sofa,"3-seat sofa, three-seat couch, sofa",55,70,80,135,160,185,Yes,No,0,depends,10,15,22,0,5,8,4,6,10,0,8,12,1,2,3,1,2,3,0.9,1.02,1.15,"standard 3-seat sofa; bulky, heavy, often two movers",00:00.0,00:00.0
268,wooden_coffee_table,"small wooden coffee table, coffee table, wood coffee table",12,15,18,35,40,45,No,No,0,yes,4,6,9,0,2,3,0,0,4,0,0,0,0.5,1,2,0.5,1,1.5,0.9,0.98,1.1,small solid wood coffee table; legs may disassemble,00:00.0,00:00.0
269,side_table_small,"small side table, end table, small end table",6,8,10,20,25,30,No,No,0,yes,4,6,9,0,0,0,0,0,0,0,0,0,0.5,1,2,0.5,1,1.5,0.9,0.98,1.12,"compact side table, small and easy to carry",00:00.0,00:00.0
270,large_area_rug,"large area rug, rolled rug, area rug large",17,20,23,30,35,40,No,Yes,20,yes,4,6,10,0,0,0,0,0,4,0,0,0,0.5,1,1.5,0.5,1,1.5,0.95,0.98,1.05,"large rolled area rug, soft good, stackable with savings",00:00.0,00:00.0
271,tall_bookcase,"bookcase, tall bookshelf, shelving unit",20,30,45,700,1050,1575,Yes,No,0,depends,8,14,18,0,6,12,4,8,10,0,10,15,1,2,4,1,2,3,0.9,1.02,1.15,"tall bookcase, fixed shelves; tall and bulky",00:00.0,00:00.0
272,large_dresser,"dresser, chest_of_drawers, large dresser",12,25,60,480,1000,2400,Yes,No,0,depends,8,12,20,0,6,12,4,8,10,0,10,15,1,2,4,1,2,3,0.9,1.02,1.15,"large wooden dresser, heavy and bulky",00:00.0,00:00.0
